codigo,norma,pilar,seccion_indice,descripcion,ods,hoja_detalle
IFRS S1 2023-06-26 40 a,S1,estrategia,3. Gobernanza,Explicación de por qué no se proporcionó información cuantitativa sobre los efectos financieros actuales o previstos de un riesgo o oportunidad identificado,,
NIIF S1 27(a),S1,gobernanza,1. La organización y su prácticas de presentación de informes,Órgano u órganos de gobernanza o personas responsables de la supervisión de los riesgos y oportunidades relacionados con la sostenibilidad,,
NIIF S1 27(a)(i),S1,gobernanza,1. La organización y su prácticas de presentación de informes,"Cómo se reflejan las responsabilidades relativas a los riesgos y oportunidades relacionados con la sostenibilidad en los términos de referencia a, mandatos, descripciones de funciones y otras políticas relacionadas aplicables a dichos órganos o personas.",,
NIIF S1 27(a)(ii),S1,gobernanza,1. La organización y su prácticas de presentación de informes,Cómo determina el órgano o los órganos o las personas si se dispone o se desarrollarán las habilidades y competencias adecuadas para supervisar las estrategias diseñadas para responder a los riesgos y oportunidades relacionados con la sostenibilidad.,,
NIIF S1 27(a)(iii),S1,gobernanza,1. La organización y su prácticas de presentación de informes,Cómo y con qué frecuencia se informa a los órganos o personas sobre los riesgos y oportunidades relacionados con la sostenibilidad.,,
NIIF S1 27(a)(iv),S1,gobernanza,1. La organización y su prácticas de presentación de informes,"Cómo tiene en cuenta el órgano o los órganos los riesgos y oportunidades relacionados con la sostenibilidad al supervisar la estrategia de la entidad, sus decisiones sobre transacciones importantes y sus procesos de gestión de riesgos y políticas relacionadas, incluyendo si el órgano o los órganos han considerado las compensaciones asociadas a esos riesgos y oportunidades.",,
NIIF S1 27(a)(v),S1,gobernanza,1. La organización y su prácticas de presentación de informes,"La forma en que el órgano o los órganos o la persona o personas supervisan el establecimiento de objetivos relacionados con los riesgos y las oportunidades relacionados con la sostenibilidad, y controlan los avances hacia la consecución de los objetivos (desarrollados en el apartado ""Metricas y Objetivos"", sección ""Objetivos"", del presente informe).",,
NIIF S1 27(b),S1,gobernanza,1. La organización y su prácticas de presentación de informes,"La gerencia en los procesos de gobernanza, los controles y los procedimientos utilizados para vigilar, gestionar y supervisar los riesgos y las oportunidades relacionados con la sostenibilidad",,
NIIF S1 27(b)(i),S1,gobernanza,1. La organización y su prácticas de presentación de informes,"En el papel de la gerencia en los procesos de gobernanza, los controles y los procedimientos utilizados para vigilar, gestionar y supervisar los riesgos y las oportunidades relacionadas con la sostenibilidad ¿La función se delega en un cargo específico de la dirección o en un comité a nivel de dirección?",,
NIIF S1 30(a)y(b),S1,estrategia,2. Actividades y trabajadores,Riesgos y oportunidades relacionados con la sostenibilidad que podría esperarse razonablemente que afecten a las perspectivas de la entidad.,,
NIIF S1 30(c),S1,estrategia,2. Actividades y trabajadores,"Explicar cómo define la entidad el ""corto plazo"", el ""medio plazo"" y el ""largo plazo"" y cómo se vinculan estas definiciones a los horizontes de planificación utilizados por la entidad para la toma de decisiones estratégicas.",8. Trabajo decente y crecimiento económico,
NIIF S1 32(a),S1,estrategia,2. Actividades y trabajadores,Descripción de los efectos actuales y previstos de los riesgos y oportunidades relacionados con la sostenibilidad sobre el modelo de negocio y la cadena de valor [bloque de texto],,
NIIF S1 32(b),S1,estrategia,2. Actividades y trabajadores,Descripción de dónde se concentran en el modelo de negocio y en la cadena de valor de la entidad los riesgos y oportunidades relacionados con la sostenibilidad.,,
NIIF S1 33(a),S1,estrategia,2. Actividades y trabajadores,Cómo se ha respondido y prevé responder a los riesgos y oportunidades relacionados con la sostenibilidad en su estrategia y toma de decisiones.,,
NIIF S1 33(b),S1,estrategia,2. Actividades y trabajadores,"Progresos realizados en relación con los planes que la entidad haya revelado en periodos anteriores sobre los que se informa, incluida la información cuantitativa y cualitativa.",,
NIIF S1 33(c),S1,estrategia,2. Actividades y trabajadores,Compensaciones entre los riesgos relacionados con la sostenibilidad y las oportunidades que la entidad consideró.,,
NIIF S1 35(a),S1,estrategia,2. Actividades y trabajadores,Cómo los riesgos y oportunidades relacionados con la sostenibilidad han afectado a su situación financiera durante el periodo sobre el que se informa,8. Trabajo decente y crecimiento económico,
